dataset,train_steps,n_simulations,score_mean,score_type,future steps,repetition
german,500,1,0.0,mae,1,8
german,500,1,0.0,mae,1,9
german,1000,1,0.0,mae,1,0
german,1000,1,0.0,mae,1,1
german,1000,1,0.0,mae,1,2
german,1000,1,0.0,mae,1,3
german,1000,1,0.0,mae,1,4
german,1000,1,0.0,mae,1,5
german,1000,1,0.0,mae,1,6
german,1000,1,0.0,mae,1,7
german,1000,1,0.0,mae,1,8
german,1000,1,0.0,mae,1,9
german,100,1,0.0003434965550393884,mae,10,0
german,100,1,0.0005171397001463178,mae,10,1
german,100,1,0.0003747423755417712,mae,10,2
german,100,1,0.0003314896463644045,mae,10,3
german,100,1,0.00064105755024895,mae,10,4
german,100,1,0.0003315017191767288,mae,10,5
german,100,1,0.0003317409751664127,mae,10,6
german,100,1,0.0010955623430054296,mae,10,7
german,100,1,5.535308624988401e-05,mae,10,8
german,100,1,0.00025581258356805863,mae,10,9
german,500,1,0.0002566781081105212,mae,10,0
german,500,1,7.274264620194931e-05,mae,10,1
german,500,1,0.00048414088797031613,mae,10,2
german,500,1,3.286846440369491e-05,mae,10,3
german,500,1,8.841149892434265e-05,mae,10,4
german,500,1,0.00016391110322953834,mae,10,5
german,500,1,0.0003590667201754229,mae,10,6
german,500,1,0.00011394735471320903,mae,10,7
german,500,1,0.00011029072232247107,mae,10,8
german,500,1,0.00014098712606336615,mae,10,9
german,1000,1,1.645805138801793e-05,mae,10,0
german,1000,1,0.00011314950360404873,mae,10,1
german,1000,1,0.00019395661306850358,mae,10,2
german,1000,1,0.0001423977737924456,mae,10,3
german,1000,1,0.00012719754140205202,mae,10,4
german,1000,1,0.0002807373484342475,mae,10,5
german,1000,1,0.00011750068377584782,mae,10,6
german,1000,1,2.444717836929249e-05,mae,10,7
german,1000,1,3.906094392144973e-05,mae,10,8
german,1000,1,3.221568345409997e-05,mae,10,9
inverted,100,1,0.0,rmse,1,0
inverted,100,1,0.0,rmse,1,1
inverted,100,1,0.0,rmse,1,2
inverted,100,1,0.0,rmse,1,3
inverted,100,1,0.0,rmse,1,4
inverted,100,1,0.0,rmse,1,5
inverted,100,1,0.0,rmse,1,6
inverted,100,1,0.0,rmse,1,7
inverted,100,1,0.0,rmse,1,8
inverted,100,1,0.0,rmse,1,9
inverted,500,1,0.0,rmse,1,0
inverted,500,1,0.0,rmse,1,1
inverted,500,1,0.0,rmse,1,2
inverted,500,1,0.0,rmse,1,3
inverted,500,1,0.0,rmse,1,4
inverted,500,1,0.0,rmse,1,5
inverted,500,1,0.0,rmse,1,6
inverted,500,1,0.0,rmse,1,7
inverted,500,1,0.0,rmse,1,8
inverted,500,1,0.0,rmse,1,9
inverted,1000,1,0.0,rmse,1,0
inverted,1000,1,0.0,rmse,1,1
inverted,1000,1,0.0,rmse,1,2
inverted,1000,1,0.0,rmse,1,3
inverted,1000,1,0.0,rmse,1,4
inverted,1000,1,0.0,rmse,1,5
inverted,1000,1,0.0,rmse,1,6
inverted,1000,1,0.0,rmse,1,7
inverted,1000,1,0.0,rmse,1,8
inverted,1000,1,0.0,rmse,1,9
inverted,100,1,0.016774375080387087,rmse,10,0
inverted,100,1,0.037684388341738526,rmse,10,1
inverted,100,1,0.0742573354201096,rmse,10,2
inverted,100,1,0.09892688122658058,rmse,10,3
inverted,100,1,0.04218949013213351,rmse,10,4
inverted,100,1,0.06718576668168129,rmse,10,5
inverted,100,1,0.15437655651282461,rmse,10,6
inverted,100,1,0.11537703892669042,rmse,10,7
inverted,100,1,0.018671355374378067,rmse,10,8
inverted,100,1,0.041308072722218946,rmse,10,9
inverted,500,1,0.030497454902421645,rmse,10,0
inverted,500,1,0.03734040192701722,rmse,10,1
inverted,500,1,0.03931994541123045,rmse,10,2
inverted,500,1,0.0035893451578983453,rmse,10,3
inverted,500,1,0.01362605782788686,rmse,10,4
inverted,500,1,0.038889898969115363,rmse,10,5
inverted,500,1,0.019979025989559904,rmse,10,6
inverted,500,1,0.013539504425249512,rmse,10,7
inverted,500,1,0.001582849950992482,rmse,10,8
inverted,500,1,0.0037072217963191757,rmse,10,9
inverted,1000,1,0.006990603041383567,rmse,10,0
inverted,1000,1,0.016135042000188757,rmse,10,1
inverted,1000,1,0.006858344994224352,rmse,10,2
inverted,1000,1,0.003311412661312055,rmse,10,3
inverted,1000,1,0.018047599804680008,rmse,10,4
inverted,1000,1,0.02755828067561439,rmse,10,5
inverted,1000,1,0.010650061210529685,rmse,10,6
inverted,1000,1,0.018065021374576423,rmse,10,7
inverted,1000,1,0.0016912927320746004,rmse,10,8
inverted,1000,1,0.0023137484158712207,rmse,10,9
inverted,100,1,0.0,smape,1,0
inverted,100,1,0.0,smape,1,1
inverted,100,1,0.0,smape,1,2
inverted,100,1,0.0,smape,1,3
inverted,100,1,0.0,smape,1,4
inverted,100,1,0.0,smape,1,5
inverted,100,1,0.0,smape,1,6
inverted,100,1,0.0,smape,1,7
inverted,100,1,0.0,smape,1,8
inverted,100,1,0.0,smape,1,9
inverted,500,1,0.0,smape,1,0
inverted,500,1,0.0,smape,1,1
inverted,500,1,0.0,smape,1,2
inverted,500,1,0.0,smape,1,3
inverted,500,1,0.0,smape,1,4
inverted,500,1,0.0,smape,1,5
inverted,500,1,0.0,smape,1,6
inverted,500,1,0.0,smape,1,7
inverted,500,1,0.0,smape,1,8
