dataset,train_steps,n_simulations,score_mean,score_type
german,200,17,"[2.01929243e-04 3.96338535e-06 2.90088172e-06 1.33636156e-06
 3.41824458e-07 5.34518801e-09 1.14324560e-08]",r2
german,200,18,"[1.10217184e-04 4.77937716e-07 3.35522404e-06 2.66990612e-07
 1.35697423e-07 1.82946597e-08 1.22930010e-08]",r2
german,200,19,"[6.44710268e-05 1.82379680e-06 8.50736373e-06 3.85988212e-07
 2.96240480e-07 1.25746123e-08 1.07942040e-08]",r2
german,200,20,"[1.02096918e-04 4.08196259e-07 4.03563207e-06 2.62021109e-07
 7.37649235e-08 1.97081939e-09 4.90330456e-10]",r2
german,300,1,"[4.20602976e-03 3.73924875e-04 2.26941184e-04 1.15776935e-05
 3.20326142e-05 3.18372116e-07 1.57679282e-06]",r2
german,300,2,"[5.15932534e-04 1.50574566e-04 1.01718309e-04 1.13768110e-05
 4.81842095e-06 1.09066117e-07 2.11641411e-07]",r2
german,300,3,"[4.82715151e-04 7.10732500e-05 1.71301959e-05 1.31275753e-05
 3.45995719e-06 4.77141742e-08 1.55084477e-07]",r2
german,300,4,"[5.32167556e-05 2.21857990e-06 7.15627338e-05 2.66900977e-06
 7.04428455e-07 9.17366628e-08 1.33135209e-07]",r2
german,300,5,"[2.05572099e-04 2.60524071e-06 2.09679496e-04 1.94322305e-05
 2.16411538e-07 4.93448390e-08 6.70264610e-08]",r2
german,300,6,"[2.45360140e-05 9.22439533e-08 8.99114559e-05 3.26715984e-06
 2.41127645e-07 6.52992054e-08 5.57414417e-08]",r2
german,300,7,"[2.37751261e-05 6.40799213e-06 1.65020594e-05 1.03495236e-06
 6.04948261e-07 8.56162740e-08 8.15333352e-08]",r2
german,300,8,"[6.27136691e-06 7.53084408e-06 6.33424803e-06 1.28722083e-06
 7.18151477e-07 4.27850407e-08 4.55156722e-08]",r2
german,300,9,"[6.29345554e-07 4.64298603e-06 4.86088368e-06 1.51402742e-06
 7.55984531e-07 4.80096502e-08 4.29937649e-08]",r2
german,300,10,"[2.75811884e-07 6.69481682e-07 5.02062967e-06 3.76937893e-06
 3.77099222e-07 8.98048638e-09 4.26888656e-09]",r2
german,300,11,"[1.03762432e-05 5.75946830e-06 7.38170460e-06 1.36493274e-06
 1.20762323e-06 5.91923578e-08 7.50713230e-08]",r2
german,300,12,"[4.81244541e-05 1.65485649e-05 4.28586309e-06 9.46227546e-07
 3.21205220e-06 1.95795158e-07 2.71691054e-07]",r2
german,300,13,"[3.97605691e-05 1.67775876e-05 1.10990850e-06 6.82352368e-07
 2.76687189e-06 1.29222346e-07 1.81473731e-07]",r2
german,300,14,"[1.42436888e-05 9.32252185e-06 2.33628827e-05 2.52018430e-06
 1.49951947e-06 5.89807725e-08 8.22382675e-08]",r2
german,300,15,"[1.45285691e-06 6.21504610e-06 3.11240566e-05 4.71380044e-06
 7.68434034e-07 3.10300814e-08 3.01507949e-08]",r2
german,300,16,"[2.26625569e-06 1.70924533e-06 3.50910066e-05 3.68058948e-06
 5.94027367e-07 2.48641738e-08 2.46756141e-08]",r2
german,300,17,"[3.19418353e-06 3.86607466e-06 9.89499356e-06 2.25686943e-06
 1.00848774e-06 2.65602718e-08 3.46659376e-08]",r2
german,300,18,"[4.31371563e-07 1.57588663e-06 1.01904344e-05 1.24598409e-06
 4.61868588e-07 7.19705855e-09 9.48945214e-09]",r2
german,300,19,"[7.20899363e-08 6.17025554e-07 1.55335538e-06 4.49135555e-07
 2.79663530e-07 1.87030112e-09 3.03071882e-09]",r2
german,300,20,"[1.14047788e-05 2.62352490e-08 6.82457610e-07 2.47078996e-07
 1.59545356e-08 1.49578029e-09 3.92532333e-09]",r2
german,400,1,"[1.90719171e-03 3.45365774e-04 4.35175881e-05 3.20820520e-06
 2.37461139e-05 5.51387480e-07 1.63711240e-06]",r2
german,400,2,"[6.58141595e-04 1.18243200e-04 3.99328695e-04 3.07111352e-05
 5.80555074e-06 5.14205225e-08 1.23387231e-07]",r2
german,400,3,"[5.93991891e-05 4.71323707e-06 2.38298175e-04 1.96969956e-05
 4.74395882e-07 9.85290933e-08 1.49188051e-07]",r2
german,400,4,"[2.66707809e-04 4.45095431e-06 5.75439098e-04 7.03001447e-05
 3.68143879e-07 4.42664685e-08 6.92324084e-08]",r2
german,400,5,"[4.73507799e-06 1.81161338e-06 4.24015938e-05 1.13134786e-06
 7.35882028e-07 9.23995185e-08 1.04793797e-07]",r2
german,400,6,"[6.45962737e-06 3.85121362e-06 4.29248819e-05 9.54655197e-07
 6.99761731e-07 3.96706344e-08 5.36980321e-08]",r2
german,400,7,"[1.56278565e-05 2.40222863e-06 1.21913012e-05 4.62460054e-07
 1.02773605e-06 3.03306695e-08 5.41170155e-08]",r2
