dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
inverted,1000,1,10,LSTM,0.4026697,mae,4
inverted,1000,1,1,TiDE,0.21758674,mae,4
inverted,1000,1,10,TiDE,1.433603,mae,4
inverted,1000,1,1,Oracle,0.04193037,mae,4
inverted,1000,1,10,Oracle,0.39900282,mae,4
inverted,1000,1,1,TSMixer,0.21713439,mae,5
inverted,1000,1,10,TSMixer,1.4324495,mae,5
inverted,1000,1,1,VAR,0.04190758,mae,5
inverted,1000,1,10,VAR,0.40190762,mae,5
inverted,1000,1,1,LSTM,0.042193215,mae,5
inverted,1000,1,10,LSTM,0.4056086,mae,5
inverted,1000,1,1,TiDE,0.21793826,mae,5
inverted,1000,1,10,TiDE,1.4352069,mae,5
inverted,1000,1,1,Oracle,0.04193037,mae,5
inverted,1000,1,10,Oracle,0.39900282,mae,5
inverted,1000,1,1,TSMixer,0.21688816,mae,6
inverted,1000,1,10,TSMixer,1.4311553,mae,6
inverted,1000,1,1,VAR,0.042049214,mae,6
inverted,1000,1,10,VAR,0.39966077,mae,6
inverted,1000,1,1,LSTM,0.04247747,mae,6
inverted,1000,1,10,LSTM,0.39930496,mae,6
inverted,1000,1,1,TiDE,0.21753675,mae,6
inverted,1000,1,10,TiDE,1.4327962,mae,6
inverted,1000,1,1,Oracle,0.04193037,mae,6
inverted,1000,1,10,Oracle,0.39900282,mae,6
inverted,1000,1,1,TSMixer,0.21724986,mae,7
inverted,1000,1,10,TSMixer,1.4329828,mae,7
inverted,1000,1,1,VAR,0.042061035,mae,7
inverted,1000,1,10,VAR,0.4012928,mae,7
inverted,1000,1,1,LSTM,0.042513344,mae,7
inverted,1000,1,10,LSTM,0.40032953,mae,7
inverted,1000,1,1,TiDE,0.21815163,mae,7
inverted,1000,1,10,TiDE,1.4356756,mae,7
inverted,1000,1,1,Oracle,0.04193037,mae,7
inverted,1000,1,10,Oracle,0.39900282,mae,7
inverted,1000,1,1,TSMixer,0.21685152,mae,8
inverted,1000,1,10,TSMixer,1.4308785,mae,8
inverted,1000,1,1,VAR,0.04187729,mae,8
inverted,1000,1,10,VAR,0.39950812,mae,8
inverted,1000,1,1,LSTM,0.042474207,mae,8
inverted,1000,1,10,LSTM,0.40964675,mae,8
inverted,1000,1,1,TiDE,0.2174074,mae,8
inverted,1000,1,10,TiDE,1.432251,mae,8
inverted,1000,1,1,Oracle,0.04193037,mae,8
inverted,1000,1,10,Oracle,0.39900282,mae,8
inverted,1000,1,1,TSMixer,0.21705425,mae,9
inverted,1000,1,10,TSMixer,1.4321924,mae,9
inverted,1000,1,1,VAR,0.04205556,mae,9
inverted,1000,1,10,VAR,0.40082893,mae,9
inverted,1000,1,1,LSTM,0.042538658,mae,9
inverted,1000,1,10,LSTM,0.3994567,mae,9
inverted,1000,1,1,TiDE,0.21757205,mae,9
inverted,1000,1,10,TiDE,1.4344058,mae,9
inverted,1000,1,1,Oracle,0.04193037,mae,9
inverted,1000,1,10,Oracle,0.39900282,mae,9
